spec_id,connectivity,confound,reduction,classifier,domain_granularity,h1_auc_edges,h1_auc_latent,h1_delta_auc,h2_delta_d,h2_p,h3_wilcoxon_p,h3_n_factors,h3_between_gt_within,duration_s,error
180,spearman,ols,ica,svm_linear,subdomain_14,0.8543668668668669,0.854884050717384,0.0005171838505171333,0.021038631416742837,0.03792415169660679,0.055465717070337206,50,22,63.41475510597229,
181,spearman,ols,ica,svm_linear,domain_7,0.8543668668668669,0.854884050717384,0.0005171838505171333,0.02132265155989932,0.007984031936127744,0.0014846473444478647,50,16,64.99555706977844,
182,spearman,ols,ica,rf,subdomain_14,0.8269519519519518,0.7986757590924258,-0.028276192859525984,0.021038631416742837,0.03792415169660679,0.055465717070337206,50,22,754.0173492431641,
183,spearman,ols,ica,rf,domain_7,0.8269519519519518,0.7986757590924258,-0.028276192859525984,0.02132265155989932,0.007984031936127744,0.0014846473444478647,50,16,752.5183670520782,
184,spearman,ols,pca,elasticnet,subdomain_14,0.8370787454120787,0.7369348515181848,-0.10014389389389389,0.021038631416742837,0.03792415169660679,0.00830841064453125,20,14,235.30837726593018,
185,spearman,ols,pca,elasticnet,domain_7,0.8370787454120787,0.7369348515181848,-0.10014389389389389,0.02132265155989932,0.007984031936127744,0.029575347900390625,20,13,219.57318568229675,
186,spearman,ols,pca,logistic_l2,subdomain_14,0.8373248248248247,0.811644978311645,-0.025679846513179783,0.021038631416742837,0.03792415169660679,0.00830841064453125,20,14,163.1831545829773,
187,spearman,ols,pca,logistic_l2,domain_7,0.8373248248248247,0.811644978311645,-0.025679846513179783,0.02132265155989932,0.007984031936127744,0.029575347900390625,20,13,167.0769350528717,
188,spearman,ols,pca,svm_linear,subdomain_14,0.8543668668668669,0.8126167834501168,-0.04175008341675013,0.021038631416742837,0.03792415169660679,0.00830841064453125,20,14,168.9092116355896,
189,spearman,ols,pca,svm_linear,domain_7,0.8543668668668669,0.8126167834501168,-0.04175008341675013,0.02132265155989932,0.007984031936127744,0.029575347900390625,20,13,171.70717930793762,
190,spearman,ols,pca,rf,subdomain_14,0.8269519519519518,0.7963672005338672,-0.030584751418084588,0.021038631416742837,0.03792415169660679,0.00830841064453125,20,14,883.448159456253,
191,spearman,ols,pca,rf,domain_7,0.8269519519519518,0.7963672005338672,-0.030584751418084588,0.02132265155989932,0.007984031936127744,0.029575347900390625,20,13,854.9901893138885,
192,spearman,ols,nmf,elasticnet,subdomain_14,0.8370787454120787,0.7121579913246581,-0.12492075408742065,0.021038631416742837,0.03792415169660679,0.31366564109611517,50,30,2286.0576157569885,
193,spearman,ols,nmf,elasticnet,domain_7,0.8370787454120787,0.7121579913246581,-0.12492075408742065,0.02132265155989932,0.007984031936127744,0.28229295463063053,50,30,2218.2752344608307,
194,spearman,ols,nmf,logistic_l2,subdomain_14,0.8373248248248247,0.7389723056389723,-0.09835251918585242,0.021038631416742837,0.03792415169660679,0.31366564109611517,50,30,795.1359124183655,
195,spearman,ols,nmf,logistic_l2,domain_7,0.8373248248248247,0.7389723056389723,-0.09835251918585242,0.02132265155989932,0.007984031936127744,0.28229295463063053,50,30,793.8573410511017,
196,spearman,ols,nmf,svm_linear,subdomain_14,0.8543668668668669,0.7307599265932601,-0.12360694027360686,0.021038631416742837,0.03792415169660679,0.31366564109611517,50,30,663.1101269721985,
197,spearman,ols,nmf,svm_linear,domain_7,0.8543668668668669,0.7307599265932601,-0.12360694027360686,0.02132265155989932,0.007984031936127744,0.28229295463063053,50,30,666.3905777931213,
198,spearman,ols,nmf,rf,subdomain_14,0.8269519519519518,0.8294544544544544,0.0025025025025026126,0.021038631416742837,0.03792415169660679,0.31366564109611517,50,30,1616.432942390442,
199,spearman,ols,nmf,rf,domain_7,0.8269519519519518,0.8294544544544544,0.0025025025025026126,0.02132265155989932,0.007984031936127744,0.28229295463063053,50,30,1607.934962272644,
200,spearman,combat,none,elasticnet,subdomain_14,,,,,,,0,0,0.24967455863952637,No module named 'neuroCombat'
201,spearman,combat,none,elasticnet,domain_7,,,,,,,0,0,0.2090320587158203,No module named 'neuroCombat'
202,spearman,combat,none,logistic_l2,subdomain_14,,,,,,,0,0,0.21144866943359375,No module named 'neuroCombat'
203,spearman,combat,none,logistic_l2,domain_7,,,,,,,0,0,0.2089672088623047,No module named 'neuroCombat'
204,spearman,combat,none,svm_linear,subdomain_14,,,,,,,0,0,0.2125546932220459,No module named 'neuroCombat'
205,spearman,combat,none,svm_linear,domain_7,,,,,,,0,0,0.20971393585205078,No module named 'neuroCombat'
206,spearman,combat,none,rf,subdomain_14,,,,,,,0,0,0.2110757827758789,No module named 'neuroCombat'
207,spearman,combat,none,rf,domain_7,,,,,,,0,0,0.20985770225524902,No module named 'neuroCombat'
208,spearman,combat,fa,elasticnet,subdomain_14,,,,,,,0,0,0.2110745906829834,No module named 'neuroCombat'
209,spearman,combat,fa,elasticnet,domain_7,,,,,,,0,0,0.20948266983032227,No module named 'neuroCombat'
210,spearman,combat,fa,logistic_l2,subdomain_14,,,,,,,0,0,0.21097254753112793,No module named 'neuroCombat'
211,spearman,combat,fa,logistic_l2,domain_7,,,,,,,0,0,0.2088780403137207,No module named 'neuroCombat'
212,spearman,combat,fa,svm_linear,subdomain_14,,,,,,,0,0,0.21120452880859375,No module named 'neuroCombat'
213,spearman,combat,fa,svm_linear,domain_7,,,,,,,0,0,0.20897316932678223,No module named 'neuroCombat'
214,spearman,combat,fa,rf,subdomain_14,,,,,,,0,0,0.21225833892822266,No module named 'neuroCombat'
215,spearman,combat,fa,rf,domain_7,,,,,,,0,0,0.20869016647338867,No module named 'neuroCombat'
216,spearman,combat,ica,elasticnet,subdomain_14,,,,,,,0,0,0.211500883102417,No module named 'neuroCombat'
217,spearman,combat,ica,elasticnet,domain_7,,,,,,,0,0,0.20944952964782715,No module named 'neuroCombat'
218,spearman,combat,ica,logistic_l2,subdomain_14,,,,,,,0,0,0.21078014373779297,No module named 'neuroCombat'
219,spearman,combat,ica,logistic_l2,domain_7,,,,,,,0,0,0.21051502227783203,No module named 'neuroCombat'
220,spearman,combat,ica,svm_linear,subdomain_14,,,,,,,0,0,0.21104931831359863,No module named 'neuroCombat'
221,spearman,combat,ica,svm_linear,domain_7,,,,,,,0,0,0.20848894119262695,No module named 'neuroCombat'
222,spearman,combat,ica,rf,subdomain_14,,,,,,,0,0,0.2097148895263672,No module named 'neuroCombat'
223,spearman,combat,ica,rf,domain_7,,,,,,,0,0,0.20941710472106934,No module named 'neuroCombat'
224,spearman,combat,pca,elasticnet,subdomain_14,,,,,,,0,0,0.20916295051574707,No module named 'neuroCombat'
225,spearman,combat,pca,elasticnet,domain_7,,,,,,,0,0,0.2091197967529297,No module named 'neuroCombat'
226,spearman,combat,pca,logistic_l2,subdomain_14,,,,,,,0,0,0.20893073081970215,No module named 'neuroCombat'
227,spearman,combat,pca,logistic_l2,domain_7,,,,,,,0,0,0.2100968360900879,No module named 'neuroCombat'
228,spearman,combat,pca,svm_linear,subdomain_14,,,,,,,0,0,0.2088167667388916,No module named 'neuroCombat'
229,spearman,combat,pca,svm_linear,domain_7,,,,,,,0,0,0.20989608764648438,No module named 'neuroCombat'
230,spearman,combat,pca,rf,subdomain_14,,,,,,,0,0,0.20933866500854492,No module named 'neuroCombat'
231,spearman,combat,pca,rf,domain_7,,,,,,,0,0,0.21045494079589844,No module named 'neuroCombat'
232,spearman,combat,nmf,elasticnet,subdomain_14,,,,,,,0,0,0.20957422256469727,No module named 'neuroCombat'
233,spearman,combat,nmf,elasticnet,domain_7,,,,,,,0,0,0.20926690101623535,No module named 'neuroCombat'
234,spearman,combat,nmf,logistic_l2,subdomain_14,,,,,,,0,0,0.21031999588012695,No module named 'neuroCombat'
235,spearman,combat,nmf,logistic_l2,domain_7,,,,,,,0,0,0.2094588279724121,No module named 'neuroCombat'
236,spearman,combat,nmf,svm_linear,subdomain_14,,,,,,,0,0,0.20893549919128418,No module named 'neuroCombat'
237,spearman,combat,nmf,svm_linear,domain_7,,,,,,,0,0,0.2098250389099121,No module named 'neuroCombat'
238,spearman,combat,nmf,rf,subdomain_14,,,,,,,0,0,0.20934772491455078,No module named 'neuroCombat'
239,spearman,combat,nmf,rf,domain_7,,,,,,,0,0,0.20902419090270996,No module named 'neuroCombat'
240,partial_corr,none,none,elasticnet,subdomain_14,0.7771062729396062,,,-0.0695113165856909,0.001996007984031936,,0,0,21.131782054901123,
241,partial_corr,none,none,elasticnet,domain_7,0.7771062729396062,,,-0.0542659208228396,0.001996007984031936,,0,0,21.13227152824402,
242,partial_corr,none,none,logistic_l2,subdomain_14,0.8720220220220221,,,-0.0695113165856909,0.001996007984031936,,0,0,6.115667819976807,
243,partial_corr,none,none,logistic_l2,domain_7,0.8720220220220221,,,-0.0542659208228396,0.001996007984031936,,0,0,6.120179176330566,
244,partial_corr,none,none,svm_linear,subdomain_14,0.8686436436436438,,,-0.0695113165856909,0.001996007984031936,,0,0,23.77890396118164,
245,partial_corr,none,none,svm_linear,domain_7,0.8686436436436438,,,-0.0542659208228396,0.001996007984031936,,0,0,23.77278995513916,
246,partial_corr,none,none,rf,subdomain_14,0.7750709042375709,,,-0.0695113165856909,0.001996007984031936,,0,0,649.8422195911407,
247,partial_corr,none,none,rf,domain_7,0.7750709042375709,,,-0.0542659208228396,0.001996007984031936,,0,0,649.7686457633972,
248,partial_corr,none,fa,elasticnet,subdomain_14,0.7771062729396062,0.7700158491825159,-0.007090423757090347,-0.0695113165856909,0.001996007984031936,0.0625,5,0,247.08538460731506,
249,partial_corr,none,fa,elasticnet,domain_7,0.7771062729396062,0.7700158491825159,-0.007090423757090347,-0.0542659208228396,0.001996007984031936,0.0625,5,0,264.91160702705383,
250,partial_corr,none,fa,logistic_l2,subdomain_14,0.8720220220220221,0.7707832832832834,-0.10123873873873868,-0.0695113165856909,0.001996007984031936,0.0625,5,0,158.99857449531555,
251,partial_corr,none,fa,logistic_l2,domain_7,0.8720220220220221,0.7707832832832834,-0.10123873873873868,-0.0542659208228396,0.001996007984031936,0.0625,5,0,157.89433073997498,
252,partial_corr,none,fa,svm_linear,subdomain_14,0.8686436436436438,0.7696863530196862,-0.09895729062395753,-0.0695113165856909,0.001996007984031936,0.0625,5,0,168.88765788078308,
253,partial_corr,none,fa,svm_linear,domain_7,0.8686436436436438,0.7696863530196862,-0.09895729062395753,-0.0542659208228396,0.001996007984031936,0.0625,5,0,168.42817163467407,
254,partial_corr,none,fa,rf,subdomain_14,0.7750709042375709,0.7529237570904238,-0.02214714714714705,-0.0695113165856909,0.001996007984031936,0.0625,5,0,844.1571431159973,
255,partial_corr,none,fa,rf,domain_7,0.7750709042375709,0.7529237570904238,-0.02214714714714705,-0.0542659208228396,0.001996007984031936,0.0625,5,0,850.4794111251831,
256,partial_corr,none,ica,elasticnet,subdomain_14,0.7771062729396062,0.8659743076409743,0.08886803470136806,-0.0695113165856909,0.001996007984031936,0.028256978552906986,50,33,146.07010197639465,
257,partial_corr,none,ica,elasticnet,domain_7,0.7771062729396062,0.8659743076409743,0.08886803470136806,-0.0542659208228396,0.001996007984031936,0.00594215911497642,50,35,146.45894289016724,
258,partial_corr,none,ica,logistic_l2,subdomain_14,0.8720220220220221,0.8692901234567902,-0.002731898565231816,-0.0695113165856909,0.001996007984031936,0.028256978552906986,50,33,65.9525101184845,
259,partial_corr,none,ica,logistic_l2,domain_7,0.8720220220220221,0.8692901234567902,-0.002731898565231816,-0.0542659208228396,0.001996007984031936,0.00594215911497642,50,35,63.83174180984497,
260,partial_corr,none,ica,svm_linear,subdomain_14,0.8686436436436438,0.8658033033033032,-0.0028403403403405303,-0.0695113165856909,0.001996007984031936,0.028256978552906986,50,33,77.40420627593994,
261,partial_corr,none,ica,svm_linear,domain_7,0.8686436436436438,0.8658033033033032,-0.0028403403403405303,-0.0542659208228396,0.001996007984031936,0.00594215911497642,50,35,75.87468361854553,
262,partial_corr,none,ica,rf,subdomain_14,0.7750709042375709,0.8098202369035702,0.03474933266599933,-0.0695113165856909,0.001996007984031936,0.028256978552906986,50,33,754.7536430358887,
263,partial_corr,none,ica,rf,domain_7,0.7750709042375709,0.8098202369035702,0.03474933266599933,-0.0542659208228396,0.001996007984031936,0.00594215911497642,50,35,752.9093923568726,
264,partial_corr,none,pca,elasticnet,subdomain_14,0.7771062729396062,0.7310247747747748,-0.046081498164831425,-0.0695113165856909,0.001996007984031936,0.0625,5,0,168.27749133110046,
265,partial_corr,none,pca,elasticnet,domain_7,0.7771062729396062,0.7310247747747748,-0.046081498164831425,-0.0542659208228396,0.001996007984031936,0.0625,5,0,178.3981306552887,
266,partial_corr,none,pca,logistic_l2,subdomain_14,0.8720220220220221,0.7692317317317316,-0.10279029029029041,-0.0695113165856909,0.001996007984031936,0.0625,5,0,141.53588676452637,
267,partial_corr,none,pca,logistic_l2,domain_7,0.8720220220220221,0.7692317317317316,-0.10279029029029041,-0.0542659208228396,0.001996007984031936,0.0625,5,0,143.809720993042,
268,partial_corr,none,pca,svm_linear,subdomain_14,0.8686436436436438,0.7701284617951285,-0.09851518184851527,-0.0695113165856909,0.001996007984031936,0.0625,5,0,153.16406559944153,
269,partial_corr,none,pca,svm_linear,domain_7,0.8686436436436438,0.7701284617951285,-0.09851518184851527,-0.0542659208228396,0.001996007984031936,0.0625,5,0,154.31965041160583,
270,partial_corr,none,pca,rf,subdomain_14,0.7750709042375709,0.7489280947614281,-0.02614280947614278,-0.0695113165856909,0.001996007984031936,0.0625,5,0,820.3853912353516,
271,partial_corr,none,pca,rf,domain_7,0.7750709042375709,0.7489280947614281,-0.02614280947614278,-0.0542659208228396,0.001996007984031936,0.0625,5,0,832.127637386322,
272,partial_corr,none,nmf,elasticnet,subdomain_14,0.7771062729396062,0.7345929262595929,-0.042513346680013275,-0.0695113165856909,0.001996007984031936,0.02237794255729675,50,18,1698.9380402565002,
273,partial_corr,none,nmf,elasticnet,domain_7,0.7771062729396062,0.7345929262595929,-0.042513346680013275,-0.0542659208228396,0.001996007984031936,5.639617199193481e-05,50,36,1701.2558884620667,
274,partial_corr,none,nmf,logistic_l2,subdomain_14,0.8720220220220221,0.7505588922255588,-0.12146312979646323,-0.0695113165856909,0.001996007984031936,0.02237794255729675,50,18,612.4633531570435,
